Commune,Temps (en minute) 
01001,31
01002,32
01004,36
01005,45
01006,17
01007,29
01008,11
01009,10
01010,40
01011,19
01012,48
01013,27
01014,11
01015,12
01016,28
01017,51
01019,58
01021,20
01022,19
01023,17
01024,10
01025,16
01026,12
01027,39
01028,25
01029,26
01030,11
01031,6
01032,45
01033,34
01034,0
01035,56
01036,51
01037,43
01038,21
01039,20
01040,27
01041,36
01042,13
01043,39
01044,36
01045,40
01046,20
01047,42
01049,43
01050,25
01051,48
01052,40
01053,12
01054,45
01056,42
01057,21
01058,26
01059,50
01060,44
01061,12
01062,40
01063,37
01064,38
01065,19
01066,19
01067,37
01068,36
01069,24
01071,68
01072,27
01073,42
01074,35
01075,17
01076,38
01077,41
01078,44
01079,25
01080,50
01081,54
01082,39
01083,21
01084,27
01085,34
01087,45
01088,39
01089,29
01090,32
01091,36
01092,37
01093,32
01094,29
01095,33
01096,24
01097,22
01098,11
01099,42
01100,55
01101,39
01102,20
01103,57
01104,62
01105,32
01106,42
01107,52
01108,25
01109,26
01110,55
01111,53
01112,28
01113,24
01114,43
01115,21
01116,13
01117,53
01118,40
01119,46
01121,47
01122,56
01123,9
01124,26
01125,41
01127,24
01128,35
01129,39
01130,14
01133,42
01134,12
01135,58
01136,16
01138,37
01139,33
01140,17
01141,13
01142,41
01143,77
01144,20
01145,28
01146,34
01147,26
01148,35
01149,32
01150,30
01151,28
01152,48
01153,63
01154,19
01155,56
01156,46
01157,16
01158,28
01159,10
01160,59
01162,14
01163,29
01165,18
01166,18
01167,15
01169,18
01170,40
01171,12
01172,37
01173,64
01174,61
01175,25
01176,38
01177,39
01179,10
01180,70
01181,10
01182,37
01183,17
01184,37
01185,52
01186,36
01187,51
01188,26
01189,37
01190,53
01191,42
01192,43
01193,27
01194,14
01195,24
01196,24
01197,29
01198,47
01199,30
01200,40
01202,41
01203,16
01204,38
01205,40
01206,35
01207,43
01208,14
01209,30
01210,60
01211,22
01212,30
01213,40
01214,44
01215,38
01216,39
01218,30
01219,42
01221,29
01224,47
01225,16
01227,7
01228,32
01229,16
01230,30
01231,14
01232,15
01233,28
